indicator,corr,n
CPIA business regulatory environment rating (1=low to 6=high),0.11868510800802794,2327
"Compulsory education, duration (years)",0.11805872676086786,5990
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",0.11788855951258793,6366
CPIA economic management cluster average (1=low to 6=high),0.1177602972843791,2327
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",0.11772233800132324,1219
Primary government expenditures as a proportion of original approved budget (%),0.11730951753563768,2286
Expenditure on secondary education (% of government expenditure on education),0.11722918396793036,3173
"Service exports (BoP, current US$)",0.11714077369557542,7627
Gross national expenditure (constant 2015 US$),0.11660811677099686,7685
CPIA quality of public administration rating (1=low to 6=high),0.11620613285500586,2327
Other expense (% of expense),0.1161911915885517,3950
Public private partnerships investment in energy (current US$),0.11519119379069191,1417
Electricity production from nuclear sources (% of total),0.11271921758055244,7439
"Current education expenditure, total (% of total expenditure in public institutions)",0.11256340662619274,2068
Gross savings (current US$),0.11222668656957528,6181
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",0.11176578727737825,6367
Net migration,0.11146371225206281,13805
"Employment to population ratio, 15+, total (%) (national estimate)",0.1107427634962806,4682
"Revenue, excluding grants (% of GDP)",0.110725802099073,5604
Military expenditure (current USD),0.10982850216966746,9549
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",0.10962793730067973,3565
Merchandise exports to high-income economies (% of total merchandise exports),0.10941315366135895,11806
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",0.10936370457148778,2268
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",0.10801243721328439,2051
"Use of IMF credit (DOD, current US$)",0.10799907911186524,5929
Gross value added at basic prices (GVA) (current US$),0.10654710039970534,9837
"Patent applications, nonresidents",0.10581285951956342,4523
Adjusted savings: net national savings (current US$),0.10555283674992512,5760
Merchandise imports from economies in the Arab World (% of total merchandise imports),0.1054632388191224,11079
CPIA trade rating (1=low to 6=high),0.10544061445398317,2327
"PNG, commercial banks and other creditors (NFL, current US$)",0.10513664393801235,3530
Public and publicly guaranteed debt service (% of GNI),0.10502939841924175,7027
Gross capital formation (% of GDP),0.10298464096129967,9696
Armed forces personnel (% of total labor force),0.1026496336078436,6377
Gross fixed capital formation (% of GDP),0.09979045225327042,9377
Investment in energy with private participation (current US$),0.09966338703460649,1571
"School enrollment, primary (% gross)",0.09896960658645301,9404
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",0.09896332937839536,2327
Exports of goods and services (constant 2015 US$),0.09835025352658112,8130
Gross capital formation (constant 2015 US$),0.09803825955695131,7659
Imports of goods and services (constant 2015 US$),0.09769692932398799,8202
"International tourism, receipts for passenger transport items (current US$)",0.09753335133472586,4166
Current health expenditure (% of GDP),0.09736630987810517,5565
"Portfolio equity, net inflows (BoP, current US$)",0.09677663739897617,8535
"Multilateral debt service (TDS, current US$)",0.09655664590599637,6251
"PPG, private creditors (NFL, US$)",0.09645291598361615,5403
CPIA macroeconomic management rating (1=low to 6=high),0.09615713946256392,2327
"Gross fixed capital formation, private sector (current LCU)",0.0951239356967812,2895
"International tourism, expenditures for passenger transport items (current US$)",0.09388862702247024,4293
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.09290486921361114,5225
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),0.09259070068319009,1611
"Personal remittances, paid (current US$)",0.0921632744858678,9886
"PPG, bonds (NFL, current US$)",0.09169690046441265,2584
"Air transport, registered carrier departures worldwide",0.09134468765991456,10214
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",0.09059584619119652,4569
Fertilizer consumption (kilograms per hectare of arable land),0.0905919602040563,11173
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",0.09041651849445884,2303
Adjusted savings: consumption of fixed capital (current US$),0.08993409827370591,8819
"International tourism, receipts (current US$)",0.08991641037698145,4863
"IMF repurchases and charges (TDS, current US$)",0.08963333478484747,5662
"Services, value added (current US$)",0.08916726566598063,9728
Unemployment with basic education (% of total labor force with basic education),0.08832939680363713,2772
Market capitalization of listed domestic companies (% of GDP),0.08800856927604046,3632
"Stocks traded, total value (% of GDP)",0.08753106700212422,4013
CPIA fiscal policy rating (1=low to 6=high),0.0858874814052285,2327
New businesses registered (number),0.08563010085874401,2279
"Secondary education, duration (years)",0.0848437476683871,13214
Import volume index (2015 = 100),0.08465125640067318,6397
"Total debt service (% of exports of goods, services and primary income)",0.08274020288493422,5195
Electricity production from coal sources (% of total),0.08226117015268299,7597
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.08165545600246937,7814
"Imports of goods, services and primary income (BoP, current US$)",0.08162501626771114,9581
"Exports of goods, services and primary income (BoP, current US$)",0.08105811423842342,9367
"Foreign direct investment, net outflows (BoP, current US$)",0.08102419815097602,9828
"Air transport, freight (million ton-km)",0.08102079535078058,9778
ICT goods imports (% total goods imports),0.08081643782881327,4585
Commercial service exports (current US$),0.0807150448694122,9511
"Government expenditure on education, total (% of GDP)",0.08016053638815727,6234
Population growth (annual %),0.07981997043690646,13803
"Secondary income receipts (BoP, current US$)",0.07977256101689037,7408
Military expenditure (% of general government expenditure),0.07959339634951217,5732
"Stocks traded, turnover ratio of domestic shares (%)",0.07829949940363505,4281
Commercial service imports (current US$),0.07683338000893991,9537
Changes in inventories (current US$),0.07682037931167128,7176
CPIA equity of public resource use rating (1=low to 6=high),0.07659243416860607,2327
"PPG, IBRD (DOD, current US$)",0.07543565049202411,4046
"Net financial flows, RDB nonconcessional (NFL, current US$)",0.07519264850414198,4366
Adjusted net national income (current US$),0.0747141196376276,9502
"International tourism, expenditures (current US$)",0.07396072179307138,4714
"Air transport, passengers carried",0.07355959906782263,10220
"Insurance and financial services (% of service imports, BoP)",0.07347609613419978,9140
"School enrollment, primary, private (% of total primary)",0.07265811656224805,6024
Final consumption expenditure (current US$),0.07262031553106486,9842
Households and NPISHs Final consumption expenditure (current US$),0.07217237454326242,9746
"IFC, private nonguaranteed (NFL, US$)",0.0720493503847056,8408
"GNI, PPP (constant 2021 international $)",0.07196453831477632,5069
General government final consumption expenditure (current US$),0.0714677045147221,9736
"Manufacturing, value added (constant 2015 US$)",0.07062674885872536,8182
"Industry (including construction), value added (current US$)",0.06935684070314882,10172
Import unit value index (2015 = 100),0.06903286818881767,6641
"PPG, IDA (DOD, current US$)",0.06849419324427794,5311
"International tourism, receipts for travel items (current US$)",0.06722499968120653,5583
Labor force with advanced education (% of total working-age population with advanced education),0.06687240914670688,2726
"International tourism, expenditures for travel items (current US$)",0.06679919500715943,5511
Grants and other revenue (% of revenue),0.06679476117169045,5322
Gross national expenditure (current US$),0.06667892090631704,9594
High-technology exports (current US$),0.06629064279805082,3157
"Manufacturing, value added (current US$)",0.06562191634283324,9149
Scientific and technical journal articles,0.06434534359381416,6372
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.064251855524955,8044
Gross fixed capital formation (current US$),0.06422965997058443,9370
"Stocks traded, total value (current US$)",0.06399942703575524,4013
"IBRD loans and IDA credits (DOD, current US$)",0.06370938387339853,6208
"Net ODA provided, to the least developed countries (current US$)",0.06346657152057324,1366
Merchandise exports to economies in the Arab World (% of total merchandise exports),0.06288850925126818,10896
Claims on other sectors of the domestic economy (annual growth as % of broad money),0.06267845686182295,2798
Insurance and financial services (% of commercial service imports),0.06167894958582398,9140
Imports of goods and services (current US$),0.06048481836974041,10195
"Net bilateral aid flows from DAC donors, Hungary (current US$)",0.06042038010838095,1997
"Net bilateral aid flows from DAC donors, Poland (current US$)",0.05970893683603206,2381
"PPG, commercial banks (NFL, current US$)",0.05918573984798036,4577
Exports of goods and services (current US$),0.059092392575186815,10140
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",0.05822944848813562,1992
Market capitalization of listed domestic companies (current US$),0.05815548274275135,3641
Newborns protected against tetanus (%),0.05777555528596081,5428
"International tourism, number of arrivals",0.05671431358753336,5588
"Cause of death, by injury (% of total)",0.0565427934883413,1374
"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",0.055870580474360644,6168
Gross domestic savings (current US$),0.05584398047661635,9832
"Net financial flows, multilateral (NFL, current US$)",0.05566624744310465,6281
"Net financial flows, others (NFL, current US$)",0.055534198512715585,5630
Arable land (hectares per person),0.05504103833869819,12479
Merchandise exports by the reporting economy (current US$),0.05442805747507781,11807
"Patent applications, residents",0.05435119811979255,4192
Female share of employment in senior and middle management (%),0.05426169255009657,1687
"Trademark applications, nonresident, by count",0.05424708156073954,2043
Imports of goods and services (% of GDP),0.0538789971774264,10189
Gross capital formation (current US$),0.0536565333650426,9692
Arable land (hectares),0.05304379579836054,9996
"Computer, communications and other services (% of commercial service imports)",0.05289835348755149,9412
Population living in areas where elevation is below 5 meters (% of total population),0.05165980600087705,753
"Net bilateral aid flows from DAC donors, Estonia (current US$)",0.051193627039988775,1071
Expenditure on tertiary education (% of government expenditure on education),0.050911823394940166,3776
"Net ODA provided, total (% of GNI)",0.0505608743798597,1177
GDP (constant 2015 US$),0.05025395917398195,12417
"Total reserves (includes gold, current US$)",0.04943068412929799,8284
Merchandise imports (current US$),0.04924734147805062,12557
"International tourism, number of departures",0.0489596363727039,2968
Merchandise imports by the reporting economy (current US$),0.0488415052484029,11823
Fixed telephone subscriptions,0.0485535112765765,12715
"International migrant stock, total",0.04847350996624483,2008
Merchandise exports (current US$),0.0480535049977892,12598
Population in urban agglomerations of more than 1 million,0.047690527707174676,6600
